name,flux,density
Fins_5,0.05439380337777023,0.078125
Fins_10,0.05736523706996879,0.15625
Fins_20,0.05924017089413915,0.3125
Fins_40,0.07156946466214656,0.625
Fins_60,0.13072475291398458,0.9375
Grid_4,0.08043637770581212,0.0615234375
Grid_8,0.11206596332936536,0.12109375
Grid_16,0.17628767492112601,0.234375
Grid_32,0.3080939730560346,0.4375
Random_0.2,0.1713040462493669,0.200469970703125
Random_0.4,0.26945187201696585,0.4033660888671875
Random_0.6,0.4676804694560611,0.60137939453125
