filename,T_max_chip,Q_total,rho_solid
synthetic_000.png,1.0,0.09281477332115173,0.455902099609375
synthetic_001.png,1.0,0.06755481660366058,0.2460174560546875
synthetic_002.png,1.0,0.08519722521305084,0.3809661865234375
synthetic_003.png,1.0,0.09451010823249817,0.3887786865234375
synthetic_004.png,1.0,0.07970735430717468,0.3574676513671875
synthetic_005.png,1.0,0.07941354811191559,0.3149566650390625
synthetic_006.png,1.0,0.09816163033246994,0.394012451171875
synthetic_007.png,1.0,0.09894411265850067,0.404296875
synthetic_008.png,1.0,0.10129059851169586,0.4348602294921875
synthetic_009.png,1.0,0.09478412568569183,0.434600830078125
synthetic_010.png,1.0,0.11471115797758102,0.4351043701171875
synthetic_011.png,1.0,0.10647754371166229,0.4669342041015625
synthetic_012.png,1.0,0.10333994030952454,0.417999267578125
synthetic_013.png,1.0,0.10212536156177521,0.3827056884765625
synthetic_014.png,1.0,0.08922652900218964,0.3837738037109375
synthetic_015.png,1.0,0.11708886176347733,0.4667816162109375
synthetic_016.png,1.0,0.08499491959810257,0.3978118896484375
synthetic_017.png,1.0,0.06987491250038147,0.271270751953125
synthetic_018.png,1.0,0.09629610180854797,0.4338531494140625
synthetic_019.png,1.0,0.09993227571249008,0.416290283203125
synthetic_020.png,1.0,0.11847738921642303,0.466796875
synthetic_021.png,1.0,0.09084345400333405,0.3766632080078125
synthetic_022.png,1.0,0.09964415431022644,0.4418487548828125
synthetic_023.png,1.0,0.09465391933917999,0.4185943603515625
synthetic_024.png,1.0,0.06637689471244812,0.216339111328125
synthetic_025.png,1.0,0.11295131593942642,0.4847259521484375
synthetic_026.png,1.0,0.09774249792098999,0.4141693115234375
synthetic_027.png,1.0,0.08384637534618378,0.3812408447265625
synthetic_028.png,1.0,0.06799107044935226,0.2975921630859375
synthetic_029.png,1.0,0.1071186512708664,0.436676025390625
synthetic_030.png,1.0,0.10621270537376404,0.441558837890625
synthetic_031.png,1.0,0.09275290369987488,0.397705078125
synthetic_032.png,1.0,0.08470581471920013,0.3427581787109375
synthetic_033.png,1.0,0.055835455656051636,0.103912353515625
synthetic_034.png,1.0,0.12093652039766312,0.460205078125
